"O_ORDERKEY","O_CUSTKEY","O_ORDERSTATUS","O_TOTALPRICE","O_ORDERDATE","O_ORDERPRIORITY","O_CLERK","O_SHIPPRIORITY","O_COMMENT"
5950626,418057,"O",84012.38,"1995-11-04","2-HIGH","Clerk#000008585",0,"l pinto beans nod regula"
5950660,1492396,"O",206059.72,"1995-10-15","4-NOT SPECIFIED","Clerk#000006450",0,"e bravely ironic grouches. foxes wake bravely. sly requests wake s"
5950661,1174597,"P",203226.52,"1995-04-03","2-HIGH","Clerk#000002563",0,"ithely even dolphins! slow asymptotes nag above the blithely regular depo"
5950688,712291,"F",35388.76,"1995-01-13","3-MEDIUM","Clerk#000000817",0," accounts. carefully regular accounts detect quickly. closely"
5950690,712705,"O",220372.90,"1995-07-22","4-NOT SPECIFIED","Clerk#000000477",0,"ound the furiously express platelets. carefully final"
5950693,302138,"F",75692.60,"1995-01-22","5-LOW","Clerk#000008268",0,"ven packages solve slyly alongside of the regular foxes. furiously bol"
5950720,54830,"F",300840.42,"1995-02-18","1-URGENT","Clerk#000007203",0,"ys regular asymptotes. iron"
5950722,1076989,"O",152470.71,"1995-09-26","1-URGENT","Clerk#000008832",0,"tes integrate. regular theodolites among the "
5950754,1352057,"F",60059.66,"1995-01-11","2-HIGH","Clerk#000002754",0,"fully regular requests. ironic Tiresias cajole blithely among the "
5950817,265723,"O",38721.00,"1995-09-24","5-LOW","Clerk#000007962",0," after the accounts are carefully above the quickly regular courts. blit"
5950882,1370371,"F",56646.88,"1995-03-28","4-NOT SPECIFIED","Clerk#000004490",0,"ole against the bold, final theodolites. regular platelets"
5950945,1088545,"O",86404.46,"1995-10-22","5-LOW","Clerk#000000411",0,"arefully bold pinto bea"
5950979,255121,"O",56410.51,"1995-10-16","5-LOW","Clerk#000008931",0,"its above the carefully final pinto beans sleep blithely furiously express d"
5951014,814663,"O",111135.59,"1995-03-22","4-NOT SPECIFIED","Clerk#000005128",0,"y pending requests-- slow, stealthy pinto be"
5951043,608518,"O",155009.10,"1995-08-18","4-NOT SPECIFIED","Clerk#000005010",0," careful, express foxes eat furiously about the packages"
5951073,1462315,"O",110807.94,"1995-08-26","3-MEDIUM","Clerk#000009452",0,"ts boost enticingly fluffily close excuses. fluffily ir"
5951079,1486010,"F",179680.47,"1995-01-26","5-LOW","Clerk#000007621",0,"ess deposits maintain "
5951111,347792,"F",259720.22,"1995-01-20","5-LOW","Clerk#000004867",0,"r dolphins are carefully express acc"
5951141,541112,"O",148652.75,"1995-06-25","2-HIGH","Clerk#000008939",0,"ffily final instructions nag f"
5951142,1466179,"O",198946.06,"1995-12-08","5-LOW","Clerk#000003723",0,"counts. final dependencies are s"
5951170,557840,"O",29458.90,"1995-10-21","4-NOT SPECIFIED","Clerk#000005320",0,"l, final accounts. slyly fluffy dolphins wake aroun"
5951202,1492372,"P",89119.29,"1995-05-08","5-LOW","Clerk#000002502",0,"mptotes wake. carefully special"
5951206,60766,"O",157596.56,"1995-11-29","3-MEDIUM","Clerk#000007198",0,"the accounts try to use inside the carefully even requests. final acco"
5951207,1288738,"O",54060.37,"1995-05-31","3-MEDIUM","Clerk#000001100",0,"lyly final waters are final, regul"
5951232,1286428,"O",17546.81,"1995-12-28","2-HIGH","Clerk#000002284",0,"arefully even, bold deposits. quickly regular foxes nag slyly. quickly even "
5951265,381505,"O",240155.70,"1995-07-20","4-NOT SPECIFIED","Clerk#000009317",0,"ke fluffily about the unusual packages. slyly final dinos haggle carefu"
5951266,926344,"P",244817.91,"1995-05-18","2-HIGH","Clerk#000000056",0,"ing ideas. ironic ins"
5951296,1207312,"O",105939.75,"1995-09-22","1-URGENT","Clerk#000005936",0,"mptotes need to are daringly af"
5951297,771823,"O",320786.91,"1995-11-06","4-NOT SPECIFIED","Clerk#000003742",0,"ggle quickly above the furiously ironic ideas. furiously unusual"
5951301,571357,"F",83942.72,"1995-01-10","1-URGENT","Clerk#000008736",0,"ideas according to the blithe, bold deposits cajole even"
5951335,1213211,"O",130169.07,"1995-06-17","4-NOT SPECIFIED","Clerk#000007176",0,"sts are carefully. courts cajole. carefu"
5951392,1298926,"O",59347.33,"1995-07-03","1-URGENT","Clerk#000000257",0,"quests. ideas cajole about the even platelets. ironic requests boost car"
5951396,84013,"P",235902.10,"1995-04-22","1-URGENT","Clerk#000006842",0,"ly according to the daringly regular platelets. regular package"
5951397,496340,"O",120828.68,"1995-07-05","3-MEDIUM","Clerk#000001297",0,"ide of the carefully"
5951431,843596,"F",248837.73,"1995-02-20","4-NOT SPECIFIED","Clerk#000004089",0,"y along the furiously regular pains. deposits al"
5951520,774173,"O",308441.55,"1995-12-26","4-NOT SPECIFIED","Clerk#000001403",0,"ding to the special excus"
5951527,651653,"O",233733.27,"1995-11-20","3-MEDIUM","Clerk#000002918",0,"alongside of the bold theodolites. stea"
5951552,816992,"F",213730.61,"1995-02-23","2-HIGH","Clerk#000007905",0,"ions use fluffily regular requests. express excuse"
5951554,278111,"O",87652.86,"1995-09-25","3-MEDIUM","Clerk#000009361",0,"nusual requests nag regularly. "
5951557,440686,"F",103355.51,"1995-01-28","1-URGENT","Clerk#000007544",0,"into beans. furiously expres"
5951586,989254,"O",183652.90,"1995-06-20","4-NOT SPECIFIED","Clerk#000005233",0,"ual ideas above the instr"
5951587,364205,"O",268902.81,"1995-11-25","3-MEDIUM","Clerk#000000251",0,"cajole after the bold requests. regular, final requests u"
5951589,876769,"O",182095.54,"1995-08-04","1-URGENT","Clerk#000007200",0,"ly ironic theodolites might breach along the"
5951648,583606,"O",202337.90,"1995-09-25","2-HIGH","Clerk#000006231",0,"endencies detect furiously carefu"
5951654,386440,"O",128587.15,"1995-06-25","4-NOT SPECIFIED","Clerk#000004434",0,"lar warhorses cajole blithely. slyly unusual pinto beans "
5951716,158107,"O",159537.93,"1995-09-03","2-HIGH","Clerk#000002568",0,"dencies. slyly final warhorses nag quickly after the carefully ru"
5951783,58724,"P",188458.29,"1995-04-23","3-MEDIUM","Clerk#000002308",0,"sleep fluffily ironic foxes. some"
5951815,30419,"O",235232.25,"1995-10-22","2-HIGH","Clerk#000003387",0,"ly. special accounts wake ironic, final deposits."
5951843,1004645,"F",89590.73,"1995-02-14","4-NOT SPECIFIED","Clerk#000008170",0,"ously against the ironic packages. unusual accoun"
5951875,1499977,"O",149200.76,"1995-06-04","2-HIGH","Clerk#000001001",0,"eans cajole slyly. slyly bold packages according to the sl"
5951879,745834,"O",138265.18,"1995-12-03","1-URGENT","Clerk#000001142",0,"es sleep slyly! slyly final instructions solve. furiousl"
5951909,980590,"O",207203.66,"1995-06-25","3-MEDIUM","Clerk#000009041",0,"gular pinto beans haggle blithely. unusual, unusual theodolites are. even ide"
5951936,561334,"O",200803.47,"1995-06-19","1-URGENT","Clerk#000005977",0,". furiously final instructions try to affix among the accounts."
5951941,1062247,"P",107700.89,"1995-04-04","4-NOT SPECIFIED","Clerk#000007415",0,"o the regular packages. blithely unusual packages wake. pending a"
5951942,158974,"O",131002.45,"1995-07-04","5-LOW","Clerk#000003008",0,"leep carefully regular instructions. dependencies use carefully according to "
5951971,186745,"O",122684.50,"1995-09-25","1-URGENT","Clerk#000009851",0,"ideas! final packages nag blithely."
5952032,1472594,"O",132657.11,"1995-08-01","3-MEDIUM","Clerk#000002870",0,"ins hinder along the blithely even"
5952069,486106,"O",203417.02,"1995-08-31","5-LOW","Clerk#000009498",0,"y fluffily ironic packages. final, pending ideas detect? regular pin"
5952099,618907,"O",354443.56,"1995-11-05","3-MEDIUM","Clerk#000003043",0,"ly bold depths are slyly among the slyly special platelets. final requ"
5952128,397111,"O",286643.53,"1995-05-28","1-URGENT","Clerk#000001497",0,"ly silent dolphins cajole carefully above"
5952163,670819,"P",102313.68,"1995-05-20","5-LOW","Clerk#000008752",0,"uickly regular accounts are furiously"
5952192,387611,"O",121994.48,"1995-09-06","1-URGENT","Clerk#000001056",0,"ual requests sleep carefully about the slyly even requests. fluffily ev"
5952194,1024370,"P",304878.95,"1995-03-13","3-MEDIUM","Clerk#000006934",0,"ests maintain furiously about the express, final dependencie"
5952196,337793,"O",250753.62,"1995-08-09","5-LOW","Clerk#000001831",0,"slyly pending foxes. slyly final deposits use. carefully silent "
5952197,1272634,"F",299756.94,"1995-02-19","2-HIGH","Clerk#000003225",0,"ges. Tiresias about the qui"
5952228,601007,"F",175653.49,"1995-03-11","5-LOW","Clerk#000007355",0,"al, special platelets wake. requests snooze fluffily. platelets play according"
5952261,668815,"O",132519.09,"1995-09-21","2-HIGH","Clerk#000007457",0,"ly special accounts. packages above the furiou"
5952289,1423018,"O",162967.26,"1995-12-18","1-URGENT","Clerk#000008675",0,"ly with the blithely unusual packages. slyly specia"
5952321,881701,"P",92153.24,"1995-04-11","1-URGENT","Clerk#000009543",0,"ntegrate carefully sly foxes. "
5952326,548030,"F",139280.30,"1995-02-25","3-MEDIUM","Clerk#000007169",0,"lyly accounts! slyly ironic requests are qu"
5952358,281317,"O",347435.33,"1995-12-16","4-NOT SPECIFIED","Clerk#000008012",0," along the quickly "
5952359,87086,"F",1296.02,"1995-04-26","2-HIGH","Clerk#000003631",0," slyly according to the furiously final sentiments. slyly "
5952485,1261709,"O",323480.30,"1995-12-10","2-HIGH","Clerk#000002912",0,"he pending courts integrate slyly final tithes. blit"
5952512,203857,"O",255940.41,"1995-11-25","1-URGENT","Clerk#000003920",0,"ar dolphins haggle blithely-- carefully special instructions among "
5952544,1334392,"F",225620.30,"1995-01-14","3-MEDIUM","Clerk#000002027",0," beans. slyly ironic pinto beans haggle after the ironic packages."
5952549,232421,"F",67352.50,"1995-01-18","5-LOW","Clerk#000004316",0,"sits are carefully. carefully re"
5952551,484481,"O",272652.78,"1995-12-07","2-HIGH","Clerk#000009720",0,"gular requests. slyly express foxes nag along the blithely final"
5952581,176732,"O",79012.95,"1995-07-11","4-NOT SPECIFIED","Clerk#000007991",0,"ions according to the ironic decoys poach slyly around the blithely fur"
5952641,1043174,"O",150726.88,"1995-07-11","2-HIGH","Clerk#000003563",0," slyly regular dolphins. slow pinto beans use deposits. accounts mold slyly a"
5952678,461170,"P",222578.42,"1995-03-23","3-MEDIUM","Clerk#000000169",0,"nding deposits thrash blithely car"
5952705,44152,"O",134381.63,"1995-06-25","3-MEDIUM","Clerk#000001194",0,"sual ideas cajole quickly "
5952739,1001812,"P",198930.75,"1995-05-10","2-HIGH","Clerk#000002816",0," the quickly express de"
5952834,615676,"O",168428.97,"1995-10-19","5-LOW","Clerk#000002199",0,"he carefully final pinto beans-- steal"
5952896,1328804,"O",43426.27,"1995-05-23","5-LOW","Clerk#000004367",0,"equests boost carefully around the carefully final theodolites. s"
5952903,354658,"O",30726.41,"1995-06-15","5-LOW","Clerk#000007585",0,"s. carefully silent ideas sleep alo"
5952960,951619,"O",135762.03,"1995-12-03","3-MEDIUM","Clerk#000005043",0," cajole quickly. deposits haggle fluffily. final foxes affix across the f"
5952998,172966,"F",222244.46,"1995-01-23","3-MEDIUM","Clerk#000006105",0,"yly enticing pinto beans. slyly furious deposits boost blithely pending foxes."
5952999,15826,"O",88982.52,"1995-12-20","4-NOT SPECIFIED","Clerk#000002853",0,"ickly dogged theodolites about the q"
5953027,310274,"O",114236.77,"1995-12-20","2-HIGH","Clerk#000000506",0," packages haggle to the furiously slow"
5953029,489796,"O",101761.72,"1995-12-20","1-URGENT","Clerk#000008936",0,"wly regular deposits engage blithely around the "
5953061,630998,"O",49939.22,"1995-06-11","3-MEDIUM","Clerk#000000193",0,"the special accounts haggle carefully furiously bold theodolites. ironic th"
5953090,195556,"O",26292.97,"1995-10-30","5-LOW","Clerk#000008170",0,"kages. carefully express instructions nag at the un"
5953092,436546,"O",225325.64,"1995-10-21","5-LOW","Clerk#000002885",0,"g theodolites. quietly special ideas sleep slyly. quick"
5953126,695170,"O",114624.35,"1995-12-21","4-NOT SPECIFIED","Clerk#000008009",0," the decoys. regular, regular asymptotes against the furiously final pint"
5953154,139337,"P",171936.87,"1995-04-16","3-MEDIUM","Clerk#000003975",0,"und the fluffily regular deposits. quickly regular depende"
5953184,830906,"F",232421.08,"1995-01-14","2-HIGH","Clerk#000003817",0,"riously dogged pinto beans. final accounts run furiously r"
5953216,294742,"O",125265.60,"1995-05-07","4-NOT SPECIFIED","Clerk#000001090",0,"hely regular theodolites; furiously even pinto beans nag blithel"
5953250,1457480,"O",244768.21,"1995-12-03","5-LOW","Clerk#000008976",0,"ular packages. final requests sleep along the"
5953253,299521,"P",228821.47,"1995-04-23","1-URGENT","Clerk#000007306",0,"te quickly after the slyly bold packages. furiously sil"
5953317,821692,"O",66126.66,"1995-06-29","5-LOW","Clerk#000009103",0,"ily regular pinto beans snooze sl"
5953378,1290686,"O",355904.12,"1995-09-20","2-HIGH","Clerk#000000396",0,"s requests. carefully regular patterns across the pending accounts pr"
5953410,1218635,"O",164771.04,"1995-08-27","5-LOW","Clerk#000001418",0," special excuses detect blithely final instructions. regula"
5953412,1267207,"O",218352.54,"1995-06-29","1-URGENT","Clerk#000008787",0,"p slyly across the blithely pending packages. "
5953443,324583,"O",91423.03,"1995-08-13","3-MEDIUM","Clerk#000003045",0,"requests sleep against the slyly ironic foxes. blithely special requests caj"
5953447,1208068,"O",128758.00,"1995-11-17","2-HIGH","Clerk#000003625",0,"ight are carefully alongside of the slyly special "
5953473,1171633,"O",143802.45,"1995-09-22","5-LOW","Clerk#000005852",0,"ly. furiously final accounts wak"
5953479,398653,"O",125977.50,"1995-10-14","1-URGENT","Clerk#000000185",0,"ly pinto beans. furiously even packages print."
5953504,1137779,"O",206794.26,"1995-07-23","5-LOW","Clerk#000001934",0,"ages play stealthily bold deposits. quickly special requests a"
5953541,1473941,"O",209659.16,"1995-12-28","2-HIGH","Clerk#000003390",0,"ake through the idly even accounts. qu"
5953569,548791,"F",112778.78,"1995-03-20","3-MEDIUM","Clerk#000008761",0,"ideas. slyly ironic reques"
5953574,815300,"F",77401.13,"1995-05-10","4-NOT SPECIFIED","Clerk#000000190",0,"ic packages. unusual, regular requests cajole sly"
5953600,1013072,"O",51451.93,"1995-08-29","3-MEDIUM","Clerk#000003127",0,"quickly ironic deposits. furiously pending packages at the furio"
5953603,389497,"O",236015.57,"1995-06-30","4-NOT SPECIFIED","Clerk#000009106",0,"s wake. furiously regular accounts boost slyl"
5953633,924454,"P",312878.47,"1995-06-09","4-NOT SPECIFIED","Clerk#000008102",0,"ymptotes. silent, ev"
5953638,159758,"O",88593.87,"1995-11-08","4-NOT SPECIFIED","Clerk#000002877",0,"ugouts. stealthy deposits sleep final, s"
5953671,882469,"F",74766.68,"1995-03-28","4-NOT SPECIFIED","Clerk#000009463",0,"the carefully regular frets. furiously expres"
5953699,231238,"O",34186.16,"1995-12-02","3-MEDIUM","Clerk#000007010",0,"ffily final packages at the slyly regular requests"
5953733,398335,"O",168721.53,"1995-10-22","2-HIGH","Clerk#000006517",0,"its. furiously bold ac"
5953735,722587,"O",27699.55,"1995-04-26","1-URGENT","Clerk#000004178",0,"sits. platelets integrate a"
5953762,930647,"O",162363.50,"1995-07-02","2-HIGH","Clerk#000008650",0,"ly blithely regular decoys. fluffi"
5953764,981028,"P",176493.99,"1995-05-22","3-MEDIUM","Clerk#000001722",0," the blithely regular ideas. carefully idle theo"
5953794,338830,"O",197752.49,"1995-09-26","3-MEDIUM","Clerk#000001545",0,"re slyly. ironic, final accounts sleep blithely across the f"
5953857,1350127,"O",149456.38,"1995-08-22","2-HIGH","Clerk#000002163",0,"slyly after the slyly"
5953863,1060186,"O",286587.26,"1995-06-18","5-LOW","Clerk#000008564",0,"efully express platelets. unusual, regular packages"
5953889,1064450,"O",209326.80,"1995-09-28","1-URGENT","Clerk#000006657",0,"ions. slyly even ideas nag thin requests. bold accounts boost dogg"
5953891,64750,"O",88857.36,"1995-12-10","3-MEDIUM","Clerk#000001207",0,"ing accounts! final requests haggle slyly over the ironic dependencie"
5953920,75827,"O",44421.45,"1995-09-28","3-MEDIUM","Clerk#000007539",0,"ly even theodolites? regular excuses amo"
5953958,1007410,"O",190554.97,"1995-07-15","2-HIGH","Clerk#000000235",0,". slyly express instructions dazzle slyly deposits. even requests are; slyly i"
5954022,61534,"O",232488.69,"1995-08-07","2-HIGH","Clerk#000005057",0," express pinto beans. blithely exp"
5954082,294493,"F",39699.28,"1995-01-28","2-HIGH","Clerk#000004221",0,"thely special deposits integrate slyly. even, slow pinto bean"
5954148,1349459,"O",335473.18,"1995-08-02","4-NOT SPECIFIED","Clerk#000008634",0,"ts sleep slyly against the furiously regular asympt"
5954177,408805,"F",307483.46,"1995-01-30","4-NOT SPECIFIED","Clerk#000008217",0,"r accounts was along the quickly even excuses. furiously regular dependenci"
5954180,43388,"O",152116.68,"1995-11-07","2-HIGH","Clerk#000001363",0,"s cajole furiously alongside of t"
5954182,1249516,"O",46378.57,"1995-12-29","3-MEDIUM","Clerk#000006996",0,"furiously ironic excuses engage quickly requests"
5954212,1067899,"O",180205.08,"1995-12-02","5-LOW","Clerk#000005183",0,"thely final excuses sleep after the deposits. ideas "
5954214,100883,"O",102522.59,"1995-06-09","4-NOT SPECIFIED","Clerk#000002065",0,"slyly regular depos"
5954215,532604,"O",11636.23,"1995-03-24","3-MEDIUM","Clerk#000008767",0,"kages boost quickly along the furiously final pinto beans. r"
5954242,566143,"O",41711.42,"1995-09-21","1-URGENT","Clerk#000005397",0,"ncies unwind blithely. blithely regular deposits about"
5954244,76771,"O",226221.41,"1995-08-08","4-NOT SPECIFIED","Clerk#000000945",0,"ts use carefully. special instructions after the fu"
5954273,512078,"P",317187.76,"1995-04-08","5-LOW","Clerk#000005755",0,"gular pinto beans. furiously silent exc"
5954369,865187,"F",44432.58,"1995-02-25","1-URGENT","Clerk#000000031",0,"ly pending theodolites. quickly special "
5954374,1163740,"F",71542.20,"1995-04-08","2-HIGH","Clerk#000006270",0,"s sleep waters. carefully pending packages acc"
5954405,976132,"O",37547.71,"1995-09-10","2-HIGH","Clerk#000007207",0,"s nag slyly fluffily even theodoli"
5954436,762925,"F",148646.31,"1995-01-23","2-HIGH","Clerk#000005591",0,"ully unusual pinto beans. furiously special requests boost "
5954496,1260376,"O",208503.93,"1995-11-03","5-LOW","Clerk#000008229",0,"yly regular deposits; fluffily blithe asymptotes haggle requests. "
5954499,446851,"F",78871.79,"1995-01-29","5-LOW","Clerk#000006221",0,"riously bold asymptotes print furiously unusual re"
5954531,1289119,"O",336363.74,"1995-08-15","4-NOT SPECIFIED","Clerk#000005396",0,"n platelets wake silent deposits. even, regular braids cajole carefully s"
5954534,334810,"F",129011.11,"1995-01-28","3-MEDIUM","Clerk#000006726",0,"ly regular ideas. ironic, regular foxes poach quickly. furiously unusual requ"
5954566,103081,"O",250042.61,"1995-11-19","4-NOT SPECIFIED","Clerk#000008748",0,"ounts would eat blithely fluffy pinto be"
5954689,1375630,"F",113537.87,"1995-03-04","3-MEDIUM","Clerk#000003672",0,"ily against the fluffily pending packages. qu"
5954722,38389,"P",204801.84,"1995-05-19","4-NOT SPECIFIED","Clerk#000004382",0,"ses cajole above the blithely regular pinto beans. slyly regular a"
5954724,1138813,"O",85065.56,"1995-12-13","3-MEDIUM","Clerk#000006404",0,"onic theodolites wake along the express theodolites. slyly ironic platel"
5954725,15296,"P",172931.33,"1995-04-05","4-NOT SPECIFIED","Clerk#000007049",0,"beans. pending decoys along the furiously regular requests cajole f"
5954755,1027849,"O",335204.59,"1995-10-03","3-MEDIUM","Clerk#000000009",0,"ructions. blithely pending packages boost"
5954786,530882,"O",111413.50,"1995-09-22","3-MEDIUM","Clerk#000001146",0,"nal theodolites across the blithely brave ideas are carefully even ac"
5954818,350758,"O",234451.83,"1995-12-17","2-HIGH","Clerk#000005076",0,"refully unusual packages sleep fluffily among the f"
5954849,1191364,"O",73233.38,"1995-12-15","2-HIGH","Clerk#000001294",0,"r, sly deposits wake slyly about the excuses. pinto beans sublate packa"
5954855,681344,"P",219606.20,"1995-04-18","2-HIGH","Clerk#000003991",0,"y unusual excuses. fluffil"
5954884,1450001,"O",196751.51,"1995-11-27","1-URGENT","Clerk#000004114",0,"cial asymptotes. carefully ironic pinto beans cajole."
5954913,1259296,"F",41936.29,"1995-01-02","1-URGENT","Clerk#000001939",0,"iously carefully ironic foxes"
5954917,193982,"P",256934.41,"1995-04-27","1-URGENT","Clerk#000004939",0,"heodolites are quickly. fluffily bold packages wake about the unusual accoun"
5954947,1234871,"O",181016.15,"1995-10-10","4-NOT SPECIFIED","Clerk#000007137",0,"lyly alongside of the unusual, fin"
5954950,922208,"O",233019.15,"1995-07-17","2-HIGH","Clerk#000000122",0,"ar, regular packages. furiously regular p"
5954977,535447,"O",132585.70,"1995-10-15","1-URGENT","Clerk#000006982",0,"ng deposits above the carefully pending theodolites cajole quickly ab"
5955009,813569,"O",57274.32,"1995-07-22","1-URGENT","Clerk#000004142",0,"ideas are furiously. quickly e"
5955010,1152566,"O",55816.93,"1995-07-26","5-LOW","Clerk#000007755",0,"uests cajole blithely permanent accounts. furiously "
5955074,264364,"F",118080.24,"1995-02-07","2-HIGH","Clerk#000000468",0,"ions use furiously. furiously regular pinto beans haggle fluffily af"
5955111,460213,"O",165810.32,"1995-12-28","1-URGENT","Clerk#000007015",0," special accounts detect carefully from the furiously regular requests. acco"
5955140,1225243,"P",72124.91,"1995-04-24","3-MEDIUM","Clerk#000009459",0,"final requests. carefully final a"
5955143,1018087,"O",337271.22,"1995-08-03","4-NOT SPECIFIED","Clerk#000008720",0,"ages dazzle quickly accordin"
43580738,312668,"O",221182.15,"1995-12-13","1-URGENT","Clerk#000003702",0,"y express foxes. ironic deposits sleep slyly careful"
43580771,164393,"P",277212.82,"1995-04-09","5-LOW","Clerk#000003656",0,"equests. final pinto beans sleep "
43580772,1438183,"O",42400.08,"1995-08-04","4-NOT SPECIFIED","Clerk#000008806",0,"slyly silent ideas wake furiously pending accounts. car"
43580801,1338763,"F",193908.70,"1995-01-15","4-NOT SPECIFIED","Clerk#000008456",0," quickly. slyly unusual requests instead"
43580866,611044,"F",189415.63,"1995-03-21","2-HIGH","Clerk#000002236",0,"al pains. regular platelets cajole carefully blithely final real"
43580903,914314,"O",275633.91,"1995-09-22","1-URGENT","Clerk#000001581",0,"ilent accounts sleep slyly thinly special p"
43580929,1169389,"O",340664.52,"1995-07-08","1-URGENT","Clerk#000004259",0," regular, unusual deposits doze fluffily according to the requests: enti"
43580994,1050127,"O",194179.95,"1995-05-20","5-LOW","Clerk#000005912",0,"xpress accounts nod according to the "
43581026,853789,"O",178477.54,"1995-08-08","5-LOW","Clerk#000004780",0,"hely pending theodolites wake; furiously ironic t"
43581029,1165276,"O",118760.12,"1995-11-05","3-MEDIUM","Clerk#000006935",0,"y according to the special dependencies. requests wake ironic theodolite"
43581056,254674,"O",33365.39,"1995-03-10","2-HIGH","Clerk#000006174",0,"ckly special sentiments"
43581057,802195,"P",335811.88,"1995-03-20","3-MEDIUM","Clerk#000001704",0," asymptotes detect evenly. carefu"
43581059,1162042,"O",140452.37,"1995-12-09","1-URGENT","Clerk#000001978",0," deposits haggle slyly quiet packages. sly"
43581062,301027,"O",173825.45,"1995-10-15","2-HIGH","Clerk#000006201",0,"elets. asymptotes are furiously after the carefully unusual deposit"
43581090,559960,"F",67095.15,"1995-01-20","1-URGENT","Clerk#000005646",0,"efully special deposits "
43581092,586549,"F",51742.76,"1995-01-18","4-NOT SPECIFIED","Clerk#000007230",0,"regular packages dazzle. blithely unusual ideas boost bl"
43581123,762829,"O",158805.68,"1995-07-05","1-URGENT","Clerk#000002889",0,". fluffily regular platelets use carefully unusual deposits. fu"
